TestCaseID,Domain,Description,Preconditions,Steps,ExpectedResult,Priority,AcceptanceCriteria,AutomationCandidate,RecommendedTool
ND-SEC-02,Security,No injection via persisted/QR data,Any,Tamper localStorage values; inspect QR input,No HTML/script injection; safe parse,P1,JSON.parse guarded; no innerHTML of untrusted data,Yes,Unit + manual
ND-SEC-03,Security,Content Security Policy present,Production,Inspect response headers,CSP restricts sources; no inline-exec gaps,P2,CSP header present and enforced,Yes,ZAP/securityheaders
ND-SEC-04,Security,Service worker scope safe,Production,Inspect SW scope/registration,SW scoped to app path; no over-broad scope,P2,Scope limited; only intended assets cached,No,Manual review
ND-A11Y-01,Accessibility,Reduced motion respected,prefers-reduced-motion=reduce,Enable OS reduce-motion; load,Heavy motion (shake/flash/pulse) reduced,P1,Animations gated by media query,Yes,axe + manual
ND-A11Y-02,Accessibility,Controls have accessible names,Any,Inspect buttons with a11y tree,All buttons have labels,P2,Mute/pause/PLAY/shop have names,Yes,axe-core
ND-A11Y-03,Accessibility,Text contrast,Menus/HUD,Run contrast audit,Text meets WCAG AA where feasible,P2,Contrast >= 4.5:1 for body text,Yes,axe-core
ND-A11Y-04,Accessibility,Keyboard play,Desktop,Use Space/Arrow/W,Jump works via keyboard,P2,Keydown triggers jump; no scroll,Yes,Playwright keyboard
ND-A11Y-05,Accessibility,Non-visual alternative/labeling,Screen reader,Navigate with SR,Canvas labeled; menus reachable,P3,Canvas has aria-label; menu buttons SR-usable,Partial,Manual SR
ND-AN-01,Analytics,game_start event fires,Instrumentation added,Start a game,Event logged with payload,P1,Event present with session/run id,Yes,Analytics QA harness
ND-AN-02,Analytics,game_over event with score/gems,Instrumentation added,Finish a run,Event logged with score+gems,P1,Payload fields present and accurate,Yes,Analytics QA harness
ND-AN-03,Analytics,powerup_collected event,Instrumentation added,Collect a power-up,Event logged with type,P2,type in {shield,magnet,slowmo},Yes,Analytics QA harness
ND-AN-04,Analytics,skin_purchased / skin_selected,Instrumentation added,Buy and select a skin,Events logged with skin id + cost,P2,Payload correct; no double-fire,Yes,Analytics QA harness
ND-AN-05,Analytics,error/crash logging fires,Instrumentation added,Force a JS error,Error captured with stack + context,P0,window.onerror/onunhandledrejection -> sink,Yes,Synthetic error test
